antecedent,consequent,support,confidence,lift
"('Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz',)","('Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori')",0.02321083172147,0.4604729518936795,26.451612903225833
"('Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render',)","('Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori')",0.02321083172147,0.6344294003868473,41.00000000000013
"('Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori',)","('Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render')",0.02321083172147,0.07643312101910821,7.903184713375822
"('Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render')","('Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori',)",0.02321083172147,2.400000000000008,7.903184713375822
"('Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori')","('Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render',)",0.02321083172147,1.5000000000000033,41.000000000000135
"('Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori')","('Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz',)",0.02321083172147,1.3333333333333333,26.45161290322583
"('Hardisk Pc 500Gb Hdd Hdd Internal Komputer 500 Gb Sata 3 5',)","('Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori')",0.0154738878143133,0.4049549364171357,17.446808510638277
"('Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz',)","('Hardisk Pc 500Gb Hdd Hdd Internal Komputer 500 Gb Sata 3 5', 'Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori')",0.0154738878143133,0.30698196792911897,12.208436724565773
"('Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render',)","('Hardisk Pc 500Gb Hdd Hdd Internal Komputer 500 Gb Sata 3 5', 'Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori')",0.0154738878143133,0.4229529335912306,16.820512820512846
"('Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori',)","('Hardisk Pc 500Gb Hdd Hdd Internal Komputer 500 Gb Sata 3 5', 'Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render')",0.0154738878143133,0.050955414012738696,3.2929936305732483
